Sample,Count,CountsPerMil,Group
ctrl A1,21,1050,ctrl N5S
ctrl E5,26,1300,ctrl N5S
ctrl E6,23,1150,ctrl N5S
C5(1),64833,3241650,13A1 SM
D3(1),64579,3228950,13A1 SM
E3(1),41493,2074650,13A1 SM
A6,34668,1733400,13C1 SM
B2(1),40527,2026350,13C1 SM
F2(1),29956,1497800,13C1 SM
C6(1),43842,2192100,13M1 SM
E4(1),29463,1473150,13M1 SM
E7(1),84015,4200750,13M1 SM
C1(1),35057,1752850,4BL SM
C3(1),50771,2538550,4BL SM
D4(1),71320,3566000,4BL SM
A3,99668,4983400,7G5Y1 SM
B4,158740,7937000,7G5Y1 SM
C4(1),112296,5614800,7G5Y1 SM
B3,126858,6342900,ARW1R1 SM
B5,141057,7052850,ARW1R1 SM
D7(1),207449,10372450,ARW1R1 SM
F1(1),33025,1651250,ARW1T SM
F3(1),29423,1471150,ARW1T SM
F7(1),123826,6191300,ARW1T SM
C2,63900,3195000,B7WZ SM
D6(1),124494,6224700,B7WZ SM
F4(1),75533,3776650,B7WZ SM
B6,43377,2168850,EA2 SM
E1(1),39283,1964150,EA2 SM
E2(1),33286,1664300,EA2 SM
A7,5063,253150,ESAW SM
B7,6098,304900,ESAW SM
C7,7648,382400,ESAW SM
B1,49457,2472850,M3-2 SM
D5,80573,4028650,M3-2 SM
F6(1),62893,3144650,M3-2 SM
A5,126788,6339400,N2S SM
D1,63331,3166550,N2S SM
D2,73000,3650000,N2S SM
A1,57537,2876850,N5S SM
E5,50124,2506200,N5S SM
E6,48137,2406850,N5S SM
A2,70339,3516950,Pt SM
A4,111427,5571350,Pt SM
F5(1),58991,2949550,Pt SM
